team,player,wage,choice,season,conference,outcome,correct,points
Portland Trail Blazers,Chester,14,OVER,2020-21,,OVER,True,14
Portland Trail Blazers,Jake,12,OVER,2020-21,,OVER,True,12
Portland Trail Blazers,Jenelle,12,OVER,2020-21,,OVER,True,12
Portland Trail Blazers,Adonis,12,OVER,2020-21,,OVER,True,12
Portland Trail Blazers,Mike,12,OVER,2020-21,,OVER,True,12
Portland Trail Blazers,Mary,11,OVER,2020-21,,OVER,True,11
Portland Trail Blazers,Ryan,10,OVER,2020-21,,OVER,True,10
Portland Trail Blazers,Phil,8,OVER,2020-21,,OVER,True,8
Brooklyn Nets,Mary,6,OVER,2020-21,,OVER,True,6
Brooklyn Nets,Chester,15,UNDER,2020-21,,OVER,False,-15
Brooklyn Nets,Ryan,14,UNDER,2020-21,,OVER,False,-14
Brooklyn Nets,Jenelle,9,UNDER,2020-21,,OVER,False,-9
Brooklyn Nets,Phil,8,UNDER,2020-21,,OVER,False,-8
Brooklyn Nets,Jake,7,UNDER,2020-21,,OVER,False,-7
Brooklyn Nets,Adonis,7,UNDER,2020-21,,OVER,False,-7
Brooklyn Nets,Mike,7,UNDER,2020-21,,OVER,False,-7
New Orleans Pelicans,Ryan,8,OVER,2020-21,,UNDER,False,-8
New Orleans Pelicans,Mike,15,UNDER,2020-21,,UNDER,True,15
New Orleans Pelicans,Jake,14,UNDER,2020-21,,UNDER,True,14
New Orleans Pelicans,Adonis,12,UNDER,2020-21,,UNDER,True,12
New Orleans Pelicans,Jenelle,11,UNDER,2020-21,,UNDER,True,11
New Orleans Pelicans,Phil,10,UNDER,2020-21,,UNDER,True,10
New Orleans Pelicans,Mary,8,UNDER,2020-21,,UNDER,True,8
New Orleans Pelicans,Chester,7,UNDER,2020-21,,UNDER,True,7
Washington Wizards,Mike,15,OVER,2020-21,,OVER,True,15
Washington Wizards,Jake,14,OVER,2020-21,,OVER,True,14
Washington Wizards,Adonis,14,OVER,2020-21,,OVER,True,14
Washington Wizards,Jenelle,11,OVER,2020-21,,OVER,True,11
Washington Wizards,Phil,11,OVER,2020-21,,OVER,True,11
Washington Wizards,Mary,9,OVER,2020-21,,OVER,True,9
Washington Wizards,Ryan,7,OVER,2020-21,,OVER,True,7
Washington Wizards,Chester,8,UNDER,2020-21,,OVER,False,-8
Oklahoma City Thunder,Mary,10,OVER,2020-21,,UNDER,False,-10
Oklahoma City Thunder,Adonis,15,UNDER,2020-21,,UNDER,True,15
Oklahoma City Thunder,Mike,14,UNDER,2020-21,,UNDER,True,14
Oklahoma City Thunder,Jake,12,UNDER,2020-21,,UNDER,True,12
Oklahoma City Thunder,Jenelle,11,UNDER,2020-21,,UNDER,True,11
Oklahoma City Thunder,Chester,8,UNDER,2020-21,,UNDER,True,8
Oklahoma City Thunder,Phil,7,UNDER,2020-21,,UNDER,True,7
Oklahoma City Thunder,Ryan,6,UNDER,2020-21,,UNDER,True,6
New York Knicks,Chester,12,OVER,2020-21,,OVER,True,12
New York Knicks,Adonis,14,UNDER,2020-21,,OVER,False,-14
New York Knicks,Mary,12,UNDER,2020-21,,OVER,False,-12
New York Knicks,Mike,11,UNDER,2020-21,,OVER,False,-11
New York Knicks,Jake,7,UNDER,2020-21,,OVER,False,-7
New York Knicks,Jenelle,7,UNDER,2020-21,,OVER,False,-7
New York Knicks,Ryan,6,UNDER,2020-21,,OVER,False,-6
New York Knicks,Phil,6,UNDER,2020-21,,OVER,False,-6
Denver Nuggets,Ryan,15,OVER,2020-21,,OVER,True,15
